Token Pitch Intensity DialogueAct POS 
hi 133 60 bill assert NNS
i 135 44 bill assert PRP
am 124 65 bill assert VBP
bill 123 61 bill assert NP
pellowe 113 59 bill assert NP
nice 123 39 bill assert JJ
to 119 50 bill assert TO
meet 125 60 bill assert VB
you 100 56 bill assert PRP
nice 150 65 john info-request JJ
to 136 55 john info-request TO
meet 129 64 john info-request VB
you 133 61 john info-request PRP
too 133 61 john info-request RB
what 152 61 john answer NP
do 147 62 john answer VBP
you 161 66 john answer PRP
do 104 58 john answer VBP
i 153 65 bill info-request PRP
am 150 65 bill info-request VBP
a 154 67 bill info-request Z
university 150 66 bill info-request NN
teacher 110 57 bill info-request NN 
how 142 65 bill answer NN
about 135 58 bill answer IN
you 125 60 bill answer PRP
me 121 61 john info-request PRP
too 125 63 john info-request RB
what 144 60 john answer WP
university 141 65 john answer NN
do 110 64 john answer VBP
you 116 54 john answer PRP
teach 102 60 john answer VBP
at 125 44 john answer IN
i 147 63 bill info-request  PRP
teach 146 57 bill info-request VBP
at 125 65 bill info-request IN
kinki 145 55 bill info-request NP
university 142 60 bill info-request NN
and 125 58 john info-request CC
you 150 62 john info-request PRP
oh 144 54 john info-request VBP
i 140 60 john info-request PRP
teach 139 56 john info-request VBP
at 120 62 john info-request IN
kurume 141 51 john info-request NP
university 102 48 john info-request NN
